scenario,field,seed_suffix,variant_index,template,placeholders,source_file,notes_for_new_variants
shock_result,headline,,1,{{WINNER}} STUN {{LOSER}} IN {{DIVISION}} SHOCKER,"DIVISION,LOSER,WINNER",gpsl_sport_phase1.sql,
shock_result,headline,,2,DRAMA IN {{DIVISION}}: {{WINNER}} TOPPLE {{LOSER}} {{SCORE}},"DIVISION,LOSER,SCORE,WINNER",gpsl_sport_phase1.sql,
shock_result,headline,,3,{{LOSER}} LEFT REELING AFTER {{WINNER}} PULL OFF MAJOR UPSET,"LOSER,WINNER",gpsl_sport_phase1.sql,
shock_result,headline,,4,FORM GUIDE TORN UP AS {{WINNER}} BEAT {{LOSER}},"LOSER,WINNER",gpsl_sport_phase1.sql,
shock_result,headline,,5,EXPERTS WRONG AGAIN — {{WINNER}} SEE OFF {{LOSER}},"LOSER,WINNER",gpsl_sport_phase1.sql,
unknown,subhead,,1,Result sends ripples through the {{DIVISION}} table,DIVISION,gpsl_sport_phase1.sql,
unknown,subhead,,2,Owners' group chat erupts after {{SCORE}} scoreline,SCORE,gpsl_sport_phase1.sql,
unknown,subhead,,3,Pre-match favourites {{LOSER}} left searching for answers,LOSER,gpsl_sport_phase1.sql,
unknown,body,,1,"In the standout result of {{MONTH}}, {{WINNER}} claimed a {{SCORE}} victory over {{LOSER}} that few saw coming.\n\nPundits had written off the winners before a ball was kicked, but the GPSL never follows the script. {{LOSER}} must regroup quickly with the table tightening.","LOSER,MONTH,SCORE,WINNER",gpsl_sport_phase1.sql,
unknown,body,,2,"{{WINNER}} produced the performance of the GPSL month so far, dismantling {{LOSER}} {{SCORE}} in {{DIVISION}} action.\n\nThe losers' manager faces awkward questions as expectation and reality drift further apart.","DIVISION,LOSER,SCORE,WINNER",gpsl_sport_phase1.sql,
unknown,body,,3,"It was the kind of night that defines a season: {{WINNER}} ruthless, {{LOSER}} ragged, the scoreboard reading {{SCORE}} when the virtual whistle blew.","LOSER,SCORE,WINNER",gpsl_sport_phase1.sql,
cup_upset,headline,,1,CUP EARTHQUAKE: {{WINNER}} DUMP {{LOSER}} OUT,"LOSER,WINNER",gpsl_sport_phase1.sql,
cup_upset,headline,,2,{{WINNER}} WRITE {{DIVISION}} HEADLINES WITH {{SCORE}} WIN,"DIVISION,SCORE,WINNER",gpsl_sport_phase1.sql,
cup_upset,headline,,3,GIANT-KILLING ALERT AS {{WINNER}} KO {{LOSER}},"LOSER,WINNER",gpsl_sport_phase1.sql,
cup_upset,headline,,1,Knockout football at its cruellest for {{LOSER}},LOSER,gpsl_sport_phase1.sql,
cup_upset,headline,,2,{{DIVISION}} tie will be replayed in chat groups for weeks,DIVISION,gpsl_sport_phase1.sql,
cup_upset,subhead,,1,Cup football delivered again as {{WINNER}} knocked out {{LOSER}} {{SCORE}} in the {{DIVISION}}.\n\nThe favourites crumbled under pressure and the underdogs march on.,"DIVISION,LOSER,SCORE,WINNER",gpsl_sport_phase1.sql,
cup_upset,subhead,,2,"{{LOSER}} arrived expecting routine progress. {{WINNER}} had other ideas, winning {{SCORE}} in a tie that will live long in GPSL folklore.","LOSER,SCORE,WINNER",gpsl_sport_phase1.sql,
manager_pressure,headline,,1,{{WINNER}} IN CRISIS AFTER DISAPPOINTING {{MONTH}},"MONTH,WINNER",gpsl_sport_phase1.sql,
manager_pressure,headline,,2,MANAGER UNDER PRESSURE AT {{WINNER}},WINNER,gpsl_sport_phase1.sql,
manager_pressure,headline,,3,{{WINNER}} FAIL TO MEET STATURE — BOARD WATCHING,WINNER,gpsl_sport_phase1.sql,
manager_pressure,headline,,4,BIG CLUB {{WINNER}} FLOUNDERING BELOW EXPECTATION,WINNER,gpsl_sport_phase1.sql,
manager_pressure,subhead,,1,Prestige club sitting well below where history says they should be,,gpsl_sport_phase1.sql,
manager_pressure,subhead,,2,Stars already linked with exits as results disappoint,,gpsl_sport_phase1.sql,
unknown,subhead,,1,"{{WINNER}} head into the next GPSL month with serious questions to answer. A club of their stature expected to be pushing the top of {{DIVISION}}, not lingering in the pack on {{POINTS}} points.\n\nWhispers in the inbox suggest players are already circling the exit door. The manager's job is not under immediate threat — but the temperature is rising.","DIVISION,POINTS,WINNER",gpsl_sport_phase1.sql,
unknown,subhead,,2,"There is a growing disconnect at {{WINNER}} between boardroom ambition and on-pitch delivery. {{MONTH}} results left fans fuming and rivals sensing blood.\n\nUnless form turns quickly, the GPSL rumour mill will have a field day.","MONTH,WINNER",gpsl_sport_phase1.sql,
poor_start,headline,,1,{{WINNER}} MAKE POOR START TO GPSL SEASON,WINNER,gpsl_sport_phase1.sql,
poor_start,headline,,2,{{WINNER}} ALREADY OFF THE PACE IN {{DIVISION}},"DIVISION,WINNER",gpsl_sport_phase1.sql,
poor_start,headline,,3,EXPECTATION VS REALITY: {{WINNER}} STRUGGLE IN {{MONTH}},"MONTH,WINNER",gpsl_sport_phase1.sql,
poor_start,headline,,1,Medium-club ambitions look a long way off on current form,,gpsl_sport_phase1.sql,
poor_start,headline,,2,Squad value not translating to league points,,gpsl_sport_phase1.sql,
unknown,subhead,,1,"{{WINNER}} promised much in pre-season but {{MONTH}} told a different story. Sitting on {{POINTS}} points, they are already adrift of where their manager rating suggested they should be.\n\nPatience is a virtue in the GPSL — but not an unlimited one.","MONTH,POINTS,WINNER",gpsl_sport_phase1.sql,
unknown,subhead,,2,"Another frustrating month for {{WINNER}}, whose {{DIVISION}} campaign has failed to ignite. Rivals who were supposed to be behind them on paper have pulled clear.","DIVISION,WINNER",gpsl_sport_phase1.sql,
roundup,headline,,1,{{MONTH}} GPSL ROUND-UP: TABLE STILL WIDE OPEN,MONTH,gpsl_sport_phase1.sql,
roundup,headline,,2,ANOTHER DRAMATIC MONTH IN GPSL FOOTBALL,,gpsl_sport_phase1.sql,
roundup,headline,,3,LEAGUE LEADERS TIGHTEN GRIP AS {{MONTH}} CLOSES,MONTH,gpsl_sport_phase1.sql,
roundup,headline,,1,"Fixtures, fines and inbox drama across the league",,gpsl_sport_phase1.sql,
roundup,headline,,2,GPSL Sport reviews the month that was,,gpsl_sport_phase1.sql,
unknown,subhead,,1,"{{MONTH}} is in the books and the GPSL rolls on. Results across SuperLeague and the Championships reshaped the table while owners battled scheduling, transfers and the inbox.\n\nGPSL Sport will be back next Friday with another edition.",MONTH,gpsl_sport_phase1.sql,
unknown,subhead,,2,"From shock scorelines to late check-ins, {{MONTH}} had it all. Clubs reset for the next GPSL month with points on the line and pride at stake.",MONTH,gpsl_sport_phase1.sql,
transfer,headline,:xfer,1,{{BUYER}} SPLASH {{FEE}} ON {{PLAYER}} — CAN HE BE THE SAVIOUR?,"BUYER,FEE,PLAYER",gpsl_sport_phase1.sql,
transfer,headline,:xfer,2,BLOCKBUSTER DEAL: {{PLAYER}} HEADS TO {{BUYER}} FOR {{FEE}},"BUYER,FEE,PLAYER",gpsl_sport_phase1.sql,
transfer,headline,:xfer,3,{{BUYER}} BREAK TRANSFER RECORD WITH {{FEE}} MOVE FOR {{PLAYER}},"BUYER,FEE,PLAYER",gpsl_sport_phase1.sql,
owner_takeover,headline,:oh,1,TAKES THE HELM AT,,gpsl_sport_preseason_phase2.sql,
owner_takeover,headline,:oh,2,NEW ERA DAWNS AS,,gpsl_sport_preseason_phase2.sql,
owner_takeover,headline,:oh,3,ASSIGNED TO,,gpsl_sport_preseason_phase2.sql,
owner_takeover,headline,:oh,4,WELCOME NEW OWNER,,gpsl_sport_preseason_phase2.sql,
preseason,pull_quote,:op,1,"""This is a special club — I cannot wait to get started.""",,gpsl_sport_preseason_phase2.sql,
preseason,pull_quote,:op,2,"""The squad has quality. My job is to unlock it.""",,gpsl_sport_preseason_phase2.sql,
preseason,pull_quote,:op,3,"""I have followed GPSL for years. Now it is my turn.""",,gpsl_sport_preseason_phase2.sql,
preseason,pull_quote,:op,4,"""Expect ambition. I did not come here to finish mid-table.""",,gpsl_sport_preseason_phase2.sql,
transfer,headline,:xfer,1,{{BUYER}} SPLASH {{FEE}} ON {{PLAYER}},"BUYER,FEE,PLAYER",gpsl_sport_preseason_phase2.sql,
transfer,headline,:xfer,2,BLOCKBUSTER DEAL: {{PLAYER}} HEADS TO {{BUYER}} FOR {{FEE}},"BUYER,FEE,PLAYER",gpsl_sport_preseason_phase2.sql,
transfer,headline,:xfer,3,{{BUYER}} LEAD {{MONTH}} SPENDING WITH {{FEE}} MOVE FOR {{PLAYER}},"BUYER,FEE,MONTH,PLAYER",gpsl_sport_preseason_phase2.sql,
transfer,pull_quote,:tp,1,"""We identified him early. The fee reflects his quality.""",,gpsl_sport_preseason_phase2.sql,
transfer,pull_quote,:tp,2,"""He is the missing piece — the board backed us.""",,gpsl_sport_preseason_phase2.sql,
